"STUDY_ID","EVENTCATEGORYNAME","EVENTNAME","startdt","SHORTTITLE","STUDYNUMBER","enddt","EVENT"
50212,"Protocol Status","Closed to Accrual","13-JUL-1987","ddC PK in AIDS/ARC","ACTG 011","24-JUL-1987","Closed to Accrual"
50212,"Protocol Status","Open","11-MAY-1987","ddC PK in AIDS/ARC","ACTG 011","13-JUL-1987","Open"
50212,"Protocol Status","Pending","30-APR-1987","ddC PK in AIDS/ARC","ACTG 011","11-MAY-1987","Pending"
50213,"Protocol Status","POS/PAC","12-APR-1990","Dose ranging ddC in AIDS/Advanced ARC","ACTG 012","","POS/PAC"
50213,"Protocol Status","Closed to Follow Up","06-MAR-1990","Dose ranging ddC in AIDS/Advanced ARC","ACTG 012","12-APR-1990","Closed to Follow Up"
50213,"Protocol Status","Closed to Accrual","04-MAR-1988","Dose ranging ddC in AIDS/Advanced ARC","ACTG 012","06-MAR-1990","Closed to Accrual"
50213,"Protocol Status","Open","04-MAY-1987","Dose ranging ddC in AIDS/Advanced ARC","ACTG 012","04-MAR-1988","Open"
50213,"Protocol Status","Pending","15-APR-1987","Dose ranging ddC in AIDS/Advanced ARC","ACTG 012","04-MAY-1987","Pending"
50214,"Protocol Status","Concluded","01-JAN-1991","AZT/IFN in KS","ACTG 013","","Concluded"
50214,"Protocol Status","POS/PAC","06-FEB-1990","AZT/IFN in KS","ACTG 013","01-JAN-1991","POS/PAC"
50214,"Protocol Status","Closed to Follow Up","28-JUN-1989","AZT/IFN in KS","ACTG 013","06-FEB-1990","Closed to Follow Up"
50214,"Protocol Status","Closed to Accrual","24-MAR-1989","AZT/IFN in KS","ACTG 013","28-JUN-1989","Closed to Accrual"
50214,"Protocol Status","Open","11-MAY-1987","AZT/IFN in KS","ACTG 013","24-MAR-1989","Open"
50214,"Protocol Status","Pending","21-APR-1987","AZT/IFN in KS","ACTG 013","11-MAY-1987","Pending"
50215,"Protocol Status","Concluded","01-SEP-1991","AZT/IFN in KS","ACTG 014","","Concluded"
50215,"Protocol Status","Closed to Follow Up","08-APR-1990","AZT/IFN in KS","ACTG 014","01-SEP-1991","Closed to Follow Up"
50215,"Protocol Status","POS/PAC","31-MAR-1990","AZT/IFN in KS","ACTG 014","08-APR-1990","POS/PAC"
50215,"Protocol Status","Closed to Accrual","22-FEB-1989","AZT/IFN in KS","ACTG 014","31-MAR-1990","Closed to Accrual"
50215,"Protocol Status","Open","11-MAY-1987","AZT/IFN in KS","ACTG 014","22-FEB-1989","Open"
50215,"Protocol Status","Pending","21-APR-1987","AZT/IFN in KS","ACTG 014","11-MAY-1987","Pending"
50216,"Protocol Status","Concluded","01-MAY-1994","Foscarnet for CMV Retinitis","ACTG 015","","Concluded"
50216,"Protocol Status","POS/PAC","04-FEB-1992","Foscarnet for CMV Retinitis","ACTG 015","01-MAY-1994","POS/PAC"
50216,"Protocol Status","Closed to Follow Up","28-FEB-1990","Foscarnet for CMV Retinitis","ACTG 015","04-FEB-1992","Closed to Follow Up"
50216,"Protocol Status","Closed to Accrual","24-MAY-1989","Foscarnet for CMV Retinitis","ACTG 015","28-FEB-1990","Closed to Accrual"
50216,"Protocol Status","Open","17-NOV-1987","Foscarnet for CMV Retinitis","ACTG 015","24-MAY-1989","Open"
50216,"Protocol Status","Pending","16-JUL-1987","Foscarnet for CMV Retinitis","ACTG 015","17-NOV-1987","Pending"
50217,"Protocol Status","Concluded","01-JUN-2001","AZT for treat. of early ARC pts.","ACTG 016","","Concluded"
50217,"Protocol Status","Closed to Follow Up","03-APR-1995","AZT for treat. of early ARC pts.","ACTG 016","01-JUN-2001","Closed to Follow Up"
50217,"Protocol Status","POS/PAC","06-FEB-1995","AZT for treat. of early ARC pts.","ACTG 016","03-APR-1995","POS/PAC"
50217,"Protocol Status","Closed to Accrual","01-MAY-1989","AZT for treat. of early ARC pts.","ACTG 016","06-FEB-1995","Closed to Accrual"
50217,"Protocol Status","Open","16-JUL-1987","AZT for treat. of early ARC pts.","ACTG 016","01-MAY-1989","Open"
50217,"Protocol Status","Pending","22-JUN-1987","AZT for treat. of early ARC pts.","ACTG 016","16-JUL-1987","Pending"
50218,"Protocol Status","Concluded","01-OCT-1992","AZT PK in Hemophilia","ACTG 017","","Concluded"
50218,"Protocol Status","POS/PAC","16-MAR-1989","AZT PK in Hemophilia","ACTG 017","01-OCT-1992","POS/PAC"
50218,"Protocol Status","Closed to Follow Up","20-APR-1988","AZT PK in Hemophilia","ACTG 017","16-MAR-1989","Closed to Follow Up"
50218,"Protocol Status","Closed to Accrual","15-FEB-1988","AZT PK in Hemophilia","ACTG 017","20-APR-1988","Closed to Accrual"
50218,"Protocol Status","Open","10-JUN-1987","AZT PK in Hemophilia","ACTG 017","15-FEB-1988","Open"
50218,"Protocol Status","Pending","30-APR-1987","AZT PK in Hemophilia","ACTG 017","10-JUN-1987","Pending"
50219,"Protocol Status","Concluded","01-JAN-1990","TMTX for previously untreated PCP","ACTG 018","","Concluded"
50219,"Protocol Status","POS/PAC","05-APR-1989","TMTX for previously untreated PCP","ACTG 018","01-JAN-1990","POS/PAC"
50219,"Protocol Status","Closed to Accrual","06-DEC-1988","TMTX for previously untreated PCP","ACTG 018","05-APR-1989","Closed to Accrual"
50219,"Protocol Status","Closed to Follow Up","19-NOV-1987","TMTX for previously untreated PCP","ACTG 018","06-DEC-1988","Closed to Follow Up"
50219,"Protocol Status","Open","02-JUN-1987","TMTX for previously untreated PCP","ACTG 018","19-NOV-1987","Open"
50219,"Protocol Status","Pending","24-APR-1987","TMTX for previously untreated PCP","ACTG 018","02-JUN-1987","Pending"
50220,"Protocol Status","Concluded","30-OCT-2003","AZT for asymptomatic HIV-infected patients","ACTG 019","","Concluded"
50220,"Protocol Status","POS/PAC","01-FEB-1995","AZT for asymptomatic HIV-infected patients","ACTG 019","30-OCT-2003","POS/PAC"
50220,"Protocol Status","Closed to Follow Up","03-FEB-1994","AZT for asymptomatic HIV-infected patients","ACTG 019","01-FEB-1995","Closed to Follow Up"
50220,"Protocol Status","Closed to Accrual","14-JUL-1989","AZT for asymptomatic HIV-infected patients","ACTG 019","03-FEB-1994","Closed to Accrual"
50220,"Protocol Status","Open","17-JUN-1987","AZT for asymptomatic HIV-infected patients","ACTG 019","14-JUL-1989","Open"
50220,"Protocol Status","Pending","20-MAY-1987","AZT for asymptomatic HIV-infected patients","ACTG 019","17-JUN-1987","Pending"
50221,"Protocol Status","Concluded","01-MAR-2001","AZT for treat. of HIV infection in AIDS/ARC","ACTG 020","","Concluded"
50221,"Protocol Status","POS/PAC","27-FEB-1991","AZT for treat. of HIV infection in AIDS/ARC","ACTG 020","01-MAR-2001","POS/PAC"
50221,"Protocol Status","Closed to Follow Up","30-JAN-1990","AZT for treat. of HIV infection in AIDS/ARC","ACTG 020","27-FEB-1991","Closed to Follow Up"
50221,"Protocol Status","Closed to Accrual","12-DEC-1987","AZT for treat. of HIV infection in AIDS/ARC","ACTG 020","30-JAN-1990","Closed to Accrual"
50221,"Protocol Status","Open","29-MAY-1987","AZT for treat. of HIV infection in AIDS/ARC","ACTG 020","12-DEC-1987","Open"
50221,"Protocol Status","Pending","20-MAY-1987","AZT for treat. of HIV infection in AIDS/ARC","ACTG 020","29-MAY-1987","Pending"
50222,"Protocol Status","Concluded","30-OCT-2003","TMP/SMX vs.Aerosolized Pentamidine for Prophylaxis of PCP in AIDS Patient on ZDV","ACTG 021","","Concluded"
50222,"Protocol Status","Closed to Follow Up","07-JAN-1992","TMP/SMX vs.Aerosolized Pentamidine for Prophylaxis of PCP in AIDS Patient on ZDV","ACTG 021","30-OCT-2003","Closed to Follow Up"
50222,"Protocol Status","POS/PAC","28-AUG-1991","TMP/SMX vs.Aerosolized Pentamidine for Prophylaxis of PCP in AIDS Patient on ZDV","ACTG 021","07-JAN-1992","POS/PAC"
50222,"Protocol Status","Closed to Accrual","30-NOV-1990","TMP/SMX vs.Aerosolized Pentamidine for Prophylaxis of PCP in AIDS Patient on ZDV","ACTG 021","28-AUG-1991","Closed to Accrual"
50222,"Protocol Status","Open","25-JUL-1988","TMP/SMX vs.Aerosolized Pentamidine for Prophylaxis of PCP in AIDS Patient on ZDV","ACTG 021","30-NOV-1990","Open"
50222,"Protocol Status","Pending","17-MAY-1988","TMP/SMX vs.Aerosolized Pentamidine for Prophylaxis of PCP in AIDS Patient on ZDV","ACTG 021","25-JUL-1988","Pending"
50222,"Protocol Status","In Development","02-MAR-1988","TMP/SMX vs.Aerosolized Pentamidine for Prophylaxis of PCP in AIDS Patient on ZDV","ACTG 021","17-MAY-1988","In Development"
50222,"Protocol Status","Pending","02-MAR-1988","TMP/SMX vs.Aerosolized Pentamidine for Prophylaxis of PCP in AIDS Patient on ZDV","ACTG 021","02-MAR-1988","Pending"
50223,"Protocol Status","Concluded","01-OCT-1991","AL721 for pts. w/PGL & symptomatic HIV","ACTG 022","","Concluded"
50223,"Protocol Status","POS/PAC","24-JAN-1990","AL721 for pts. w/PGL & symptomatic HIV","ACTG 022","01-OCT-1991","POS/PAC"
50223,"Protocol Status","Closed to Accrual","28-JUL-1989","AL721 for pts. w/PGL & symptomatic HIV","ACTG 022","24-JAN-1990","Closed to Accrual"
50223,"Protocol Status","Closed to Follow Up","19-MAY-1989","AL721 for pts. w/PGL & symptomatic HIV","ACTG 022","28-JUL-1989","Closed to Follow Up"
50223,"Protocol Status","Open","24-FEB-1989","AL721 for pts. w/PGL & symptomatic HIV","ACTG 022","19-MAY-1989","Open"
50223,"Protocol Status","Temporarily Closed","06-DEC-1988","AL721 for pts. w/PGL & symptomatic HIV","ACTG 022","24-FEB-1989","Other"
50223,"Protocol Status","Open","30-NOV-1987","AL721 for pts. w/PGL & symptomatic HIV","ACTG 022","06-DEC-1988","Open"
50223,"Protocol Status","Pending","26-JUN-1987","AL721 for pts. w/PGL & symptomatic HIV","ACTG 022","30-NOV-1987","Pending"
50224,"Protocol Status","Concluded","01-JAN-1992","ZDV & recombinant IL-2 combination in pts. w/PGL","ACTG 024","","Concluded"
50224,"Protocol Status","POS/PAC","12-APR-1990","ZDV & recombinant IL-2 combination in pts. w/PGL","ACTG 024","01-JAN-1992","POS/PAC"
50224,"Protocol Status","Closed to Follow Up","23-JAN-1990","ZDV & recombinant IL-2 combination in pts. w/PGL","ACTG 024","12-APR-1990","Closed to Follow Up"
50224,"Protocol Status","Closed to Accrual","03-AUG-1989","ZDV & recombinant IL-2 combination in pts. w/PGL","ACTG 024","23-JAN-1990","Closed to Accrual"
50224,"Protocol Status","Open","08-DEC-1987","ZDV & recombinant IL-2 combination in pts. w/PGL","ACTG 024","03-AUG-1989","Open"
50224,"Protocol Status","Pending","21-JUL-1987","ZDV & recombinant IL-2 combination in pts. w/PGL","ACTG 024","08-DEC-1987","Pending"
50225,"Protocol Status","Concluded","01-MAY-1992","Recombinant TNF & Recombinant IFN-gamma in ARC","ACTG 025","","Concluded"
50225,"Protocol Status","POS/PAC","14-FEB-1990","Recombinant TNF & Recombinant IFN-gamma in ARC","ACTG 025","01-MAY-1992","POS/PAC"
50225,"Protocol Status","Closed to Follow Up","02-OCT-1989","Recombinant TNF & Recombinant IFN-gamma in ARC","ACTG 025","14-FEB-1990","Closed to Follow Up"
50225,"Protocol Status","Closed to Accrual","26-JUL-1989","Recombinant TNF & Recombinant IFN-gamma in ARC","ACTG 025","02-OCT-1989","Closed to Accrual"
50225,"Protocol Status","Open","01-APR-1988","Recombinant TNF & Recombinant IFN-gamma in ARC","ACTG 025","26-JUL-1989","Open"
50225,"Protocol Status","Pending","20-JUL-1987","Recombinant TNF & Recombinant IFN-gamma in ARC","ACTG 025","01-APR-1988","Pending"
50226,"Protocol Status","Concluded","01-MAY-1994","Flu vs. Ampho B for maint. TX of crypt. mening","ACTG 026","","Concluded"
50226,"Protocol Status","Closed to Follow Up","01-JAN-1992","Flu vs. Ampho B for maint. TX of crypt. mening","ACTG 026","01-MAY-1994","Closed to Follow Up"
50226,"Protocol Status","POS/PAC","22-JUL-1991","Flu vs. Ampho B for maint. TX of crypt. mening","ACTG 026","01-JAN-1992","POS/PAC"
50226,"Protocol Status","Closed to Accrual","02-MAY-1990","Flu vs. Ampho B for maint. TX of crypt. mening","ACTG 026","22-JUL-1991","Closed to Accrual"
50226,"Protocol Status","Open","04-DEC-1987","Flu vs. Ampho B for maint. TX of crypt. mening","ACTG 026","02-MAY-1990","Open"
50227,"Protocol Status","Concluded","26-AUG-1989","AZT PK w/ Probenecid or Quinine","ACTG 027","","Concluded"
50227,"Protocol Status","POS/PAC","06-DEC-1988","AZT PK w/ Probenecid or Quinine","ACTG 027","26-AUG-1989","POS/PAC"
50227,"Protocol Status","Closed to Follow Up","16-FEB-1988","AZT PK w/ Probenecid or Quinine","ACTG 027","06-DEC-1988","Closed to Follow Up"
50227,"Protocol Status","Open","12-DEC-1987","AZT PK w/ Probenecid or Quinine","ACTG 027","16-FEB-1988","Open"
50227,"Protocol Status","Pending","15-JUL-1987","AZT PK w/ Probenecid or Quinine","ACTG 027","12-DEC-1987","Pending"
50228,"Protocol Status","Concluded","01-MAR-1994","Foscarnet dose response in HIV + w/PGL","ACTG 028","","Concluded"
50228,"Protocol Status","POS/PAC","15-JUN-1992","Foscarnet dose response in HIV + w/PGL","ACTG 028","01-MAR-1994","POS/PAC"
50228,"Protocol Status","Closed to Follow Up","02-FEB-1990","Foscarnet dose response in HIV + w/PGL","ACTG 028","15-JUN-1992","Closed to Follow Up"
50228,"Protocol Status","Closed to Accrual","06-NOV-1989","Foscarnet dose response in HIV + w/PGL","ACTG 028","02-FEB-1990","Closed to Accrual"
50228,"Protocol Status","Open","31-MAY-1988","Foscarnet dose response in HIV + w/PGL","ACTG 028","06-NOV-1989","Open"
50228,"Protocol Status","Pending","16-JUL-1987","Foscarnet dose response in HIV + w/PGL","ACTG 028","31-MAY-1988","Pending"
50229,"Protocol Status","Concluded","01-JUL-1994","TMTX vs. TMP/SMX for PCP followed by AP proph.","ACTG 029","","Concluded"
50229,"Protocol Status","POS/PAC","19-SEP-1991","TMTX vs. TMP/SMX for PCP followed by AP proph.","ACTG 029","01-JUL-1994","POS/PAC"
50229,"Protocol Status","Closed to Follow Up","24-JUN-1991","TMTX vs. TMP/SMX for PCP followed by AP proph.","ACTG 029","19-SEP-1991","Closed to Follow Up"
50229,"Protocol Status","Closed to Accrual","21-JUN-1989","TMTX vs. TMP/SMX for PCP followed by AP proph.","ACTG 029","24-JUN-1991","Closed to Accrual"
50229,"Protocol Status","Open","24-MAR-1988","TMTX vs. TMP/SMX for PCP followed by AP proph.","ACTG 029","21-JUN-1989","Open"
50229,"Protocol Status","Pending","31-JUL-1987","TMTX vs. TMP/SMX for PCP followed by AP proph.","ACTG 029","24-MAR-1988","Pending"
50230,"Protocol Status","Closed to Follow Up","15-JUL-1989","TMTX vs. TMP/SMX for refractory PCP","ACTG 030","","Closed to Follow Up"
50230,"Protocol Status","Concluded","14-MAR-1989","TMTX vs. TMP/SMX for refractory PCP","ACTG 030","15-JUL-1989","Concluded"
50230,"Protocol Status","Open","13-FEB-1989","TMTX vs. TMP/SMX for refractory PCP","ACTG 030","14-MAR-1989","Open"
50230,"Protocol Status","Pending","26-FEB-1988","TMTX vs. TMP/SMX for refractory PCP","ACTG 030","13-FEB-1989","Pending"
50231,"Protocol Status","Concluded","01-JUL-1994","TMTX vs TMP/S for severe PCP","ACTG 031","","Concluded"
50231,"Protocol Status","POS/PAC","15-SEP-1991","TMTX vs TMP/S for severe PCP","ACTG 031","01-JUL-1994","POS/PAC"
50231,"Protocol Status","Closed to Follow Up","27-MAR-1991","TMTX vs TMP/S for severe PCP","ACTG 031","15-SEP-1991","Closed to Follow Up"
50231,"Protocol Status","Closed to Accrual","08-MAY-1990","TMTX vs TMP/S for severe PCP","ACTG 031","27-MAR-1991","Closed to Accrual"
50231,"Protocol Status","Open","14-DEC-1988","TMTX vs TMP/S for severe PCP","ACTG 031","08-MAY-1990","Open"
50231,"Protocol Status","Pending","11-JAN-1988","TMTX vs TMP/S for severe PCP","ACTG 031","14-DEC-1988","Pending"
50232,"Protocol Status","Concluded","05-MAY-1990","AZT/Acetaminophen PK","ACTG 032","","Concluded"
50232,"Protocol Status","Closed to Accrual","15-AUG-1989","AZT/Acetaminophen PK","ACTG 032","05-MAY-1990","Closed to Accrual"
50232,"Protocol Status","Closed to Follow Up","03-AUG-1989","AZT/Acetaminophen PK","ACTG 032","15-AUG-1989","Closed to Follow Up"
50232,"Protocol Status","Open","18-MAR-1988","AZT/Acetaminophen PK","ACTG 032","03-AUG-1989","Open"
50232,"Protocol Status","Pending","11-SEP-1987","AZT/Acetaminophen PK","ACTG 032","18-MAR-1988","Pending"
50233,"Protocol Status","Concluded","05-MAY-1990","AZT/low-dose TMP/SMX PK","ACTG 033","","Concluded"
50233,"Protocol Status","Closed to Accrual","20-OCT-1989","AZT/low-dose TMP/SMX PK","ACTG 033","05-MAY-1990","Closed to Accrual"
50233,"Protocol Status","Closed to Follow Up","21-SEP-1989","AZT/low-dose TMP/SMX PK","ACTG 033","20-OCT-1989","Closed to Follow Up"
50233,"Protocol Status","Open","13-MAY-1988","AZT/low-dose TMP/SMX PK","ACTG 033","21-SEP-1989","Open"
50233,"Protocol Status","Pending","11-SEP-1987","AZT/low-dose TMP/SMX PK","ACTG 033","13-MAY-1988","Pending"
50234,"Protocol Status","Closed to Follow Up","11-OCT-1990","Ribavirin for AIDS/Advanced ARC patients","ACTG 034","","Closed to Follow Up"
50234,"Protocol Status","Concluded","02-JUN-1990","Ribavirin for AIDS/Advanced ARC patients","ACTG 034","11-OCT-1990","Concluded"
50234,"Protocol Status","Closed to Accrual","15-SEP-1989","Ribavirin for AIDS/Advanced ARC patients","ACTG 034","02-JUN-1990","Closed to Accrual"
50234,"Protocol Status","Open","28-APR-1988","Ribavirin for AIDS/Advanced ARC patients","ACTG 034","15-SEP-1989","Open"
50234,"Protocol Status","Pending","06-NOV-1987","Ribavirin for AIDS/Advanced ARC patients","ACTG 034","28-APR-1988","Pending"
50235,"Protocol Status","Concluded","01-OCT-1991","Ribavarin in PK","ACTG 035","","Concluded"
50235,"Protocol Status","POS/PAC","01-OCT-1991","Ribavarin in PK","ACTG 035","01-OCT-1991","POS/PAC"
50235,"Protocol Status","Closed to Accrual","09-AUG-1989","Ribavarin in PK","ACTG 035","01-OCT-1991","Closed to Accrual"
50235,"Protocol Status","Closed to Follow Up","01-MAY-1989","Ribavarin in PK","ACTG 035","09-AUG-1989","Closed to Follow Up"
50235,"Protocol Status","Open","26-JUL-1988","Ribavarin in PK","ACTG 035","01-MAY-1989","Open"
50235,"Protocol Status","Pending","06-NOV-1987","Ribavarin in PK","ACTG 035","26-JUL-1988","Pending"
50236,"Protocol Status","Concluded","01-OCT-1998","AZT in hemophiliacs","ACTG 036","","Concluded"
50236,"Protocol Status","Closed to Follow Up","30-JUN-1990","AZT in hemophiliacs","ACTG 036","01-OCT-1998","Closed to Follow Up"
50236,"Protocol Status","POS/PAC","12-FEB-1990","AZT in hemophiliacs","ACTG 036","30-JUN-1990","POS/PAC"
50236,"Protocol Status","Closed to Accrual","18-AUG-1989","AZT in hemophiliacs","ACTG 036","12-FEB-1990","Closed to Accrual"
50236,"Protocol Status","Open","12-APR-1988","AZT in hemophiliacs","ACTG 036","18-AUG-1989","Open"
50236,"Protocol Status","Pending","04-JAN-1988","AZT in hemophiliacs","ACTG 036","12-APR-1988","Pending"
50237,"Protocol Status","Concluded","05-MAY-1990","AZT/high-dose TMP/SMX PK","ACTG 037","","Concluded"
50237,"Protocol Status","Closed to Accrual","20-OCT-1989","AZT/high-dose TMP/SMX PK","ACTG 037","05-MAY-1990","Closed to Accrual"
50237,"Protocol Status","Closed to Follow Up","24-AUG-1989","AZT/high-dose TMP/SMX PK","ACTG 037","20-OCT-1989","Closed to Follow Up"
50237,"Protocol Status","Open","21-JUN-1988","AZT/high-dose TMP/SMX PK","ACTG 037","24-AUG-1989","Open"
50237,"Protocol Status","Pending","22-SEP-1987","AZT/high-dose TMP/SMX PK","ACTG 037","21-JUN-1988","Pending"
50238,"Protocol Status","POS/PAC","01-OCT-1992","Ampligen Phase I","ACTG 038","","POS/PAC"
50238,"Protocol Status","Concluded","01-OCT-1992","Ampligen Phase I","ACTG 038","01-OCT-1992","Concluded"
50238,"Protocol Status","Closed to Accrual","19-JUN-1991","Ampligen Phase I","ACTG 038","01-OCT-1992","Closed to Accrual"
50238,"Protocol Status","Closed to Follow Up","26-APR-1991","Ampligen Phase I","ACTG 038","19-JUN-1991","Closed to Follow Up"
50238,"Protocol Status","Temporarily Closed","15-APR-1991","Ampligen Phase I","ACTG 038","26-APR-1991","Other"
50238,"Protocol Status","Open","02-MAY-1988","Ampligen Phase I","ACTG 038","15-APR-1991","Open"
50238,"Protocol Status","Pending","09-MAR-1988","Ampligen Phase I","ACTG 038","02-MAY-1988","Pending"
